,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,streams_in_millions,months_since_released,mthly_streams
620,Dance Monkey,Tones and I,1,2019,5,10,24529,0,2864791672,98,F#,Minor,82,54,59,69,0,18,10,2864.79167,56,51.15699
621,Lucid Dreams,Juice WRLD,1,2017,6,15,14749,0,2288695111,84,B,Minor,44,22,48,38,0,33,24,2288.69511,79,28.97082
622,Quï¿½ï¿½ Mï¿½ï¿,"J Balvin, Maria Becerra",2,2021,1,28,8087,0,720825549,102,G#,Major,89,77,82,3,0,17,11,720.82555,35,20.59502
623,All of Me,John Legend,1,2013,8,1,27221,0,2086124197,120,G#,Major,42,33,26,92,0,13,3,2086.1242,126,16.55654
624,Smells Like Teen Spirit - Remastered 2021,Nirvana,1,1991,9,10,49991,9,1690192927,117,C#,Major,52,73,91,0,0,11,7,1690.19293,393,4.30075
625,Arcade,Duncan Laurence,1,2019,3,7,6646,0,991336132,72,A,Minor,45,27,33,82,0,14,4,991.33613,58,17.092
626,Fair Trade (with Travis Scott),"Drake, Travis Scott",2,2021,9,3,5403,6,593917618,168,C#,Major,67,29,47,5,0,22,26,593.91762,28,21.21134
627,Bar,"Tini, L-Gante",2,2021,11,11,755,4,200972675,94,C#,Major,52,68,69,13,0,33,8,200.97268,26,7.72972
628,The Rumbling (TV Size),SiM,1,2022,1,10,254,0,71014967,145,G#,Major,41,65,88,0,0,26,5,71.01497,24,2.95896
629,family ties (with Kendrick Lamar),"Kendrick Lamar, Baby Keem",2,2021,8,27,6308,5,560222750,134,C#,Major,71,14,61,1,0,23,33,560.22275,28,20.00796
630,Mr. Brightside,The Killers,1,2003,9,23,51979,15,1806617704,148,C#,Major,35,24,93,0,0,10,8,1806.6177,246,7.34397
631,Blessed-Cursed,ENHYPEN,1,2022,1,10,246,0,77337771,127,E,Minor,60,40,89,9,0,60,6,77.33777,24,3.22241
632,AM Remix,"J Balvin, Nio Garcia, Bad Bunny",3,2021,6,24,6556,0,528544703,172,F#,Minor,74,79,66,11,0,8,16,528.5447,30,17.61816
633,Streets,Doja Cat,1,2019,11,7,5728,0,865640097,90,B,Major,75,19,46,21,4,34,8,865.6401,50,17.3128
634,Shallow,"Lady Gaga, Bradley Cooper",2,2018,9,27,16636,12,2159346687,96,G,Major,57,30,40,38,0,26,3,2159.34669,64,33.73979
635,Polaroid Love,ENHYPEN,1,2022,1,10,461,0,211372494,138,G,Minor,74,65,67,46,0,36,4,211.37249,24,8.80719
636,Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",2,2021,4,28,4893,4,651732901,120,G,Major,72,67,72,0,0,13,4,651.7329,32,20.36665
637,Permission to Dance,BTS,1,2021,7,9,1801,2,608334048,125,A,Major,70,65,74,1,0,34,4,608.33405,30,20.2778
638,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",4,2021,1,15,12043,0,863756573,123,D,Major,82,80,86,1,0,30,13,863.75657,36,23.99324
639,RAPSTAR,Polo G,1,2021,4,9,4731,0,797402345,81,F#,Major,79,44,54,41,0,13,24,797.40234,33,24.16371
640,'Till I Collapse,"Eminem, Nate Dogg",2,2002,5,26,22923,0,1695712020,171,C#,Major,55,10,85,7,0,8,20,1695.71202,262,6.47218
641,Memories,Maroon 5,1,2019,9,20,9974,2,1759567999,91,B,Major,77,60,32,84,0,8,5,1759.568,52,33.83785
642,Se Le Ve,"Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music",8,2021,8,12,1560,0,223319934,84,G,Minor,56,61,76,10,0,14,11,223.31993,29,7.70069
643,25k jacket (feat. Lil Baby),"Gunna, Lil Baby",2,2022,1,7,620,0,54937991,115,F,Minor,90,74,54,16,0,13,28,54.93799,24,2.28908
644,When Iï¿½ï¿½ï¿½m Gone (with Katy ,"Katy Perry, Alesso",2,2021,12,29,3270,0,226897599,125,0,Major,69,70,89,4,0,49,3,226.8976,24,9.45407
645,Esqueï¿½ï¿½a-Me Se For C,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Maiara &",2,2021,10,14,580,0,258316038,122,F#,Minor,80,62,69,28,0,13,7,258.31604,26,9.93523
646,Miï¿½ï¿½n,"Tini, Maria Becerra",2,2021,4,29,3406,16,596152090,92,D,Major,85,92,54,16,0,29,7,596.15209,32,18.62975
647,Sï¿½ï¿½,"Anuel Aa, Myke Towers, Jhay Cortez",3,2021,11,18,903,0,177129919,90,F#,Minor,63,75,75,17,0,11,8,177.12992,25,7.0852
648,MAMIII,"Karol G, Becky G",2,2022,2,10,6809,28,716591492,94,E,Minor,84,90,70,9,0,14,8,716.59149,22,32.57234
649,Still D.R.E.,"Dr. Dre, Snoop Dogg",2,1999,1,1,33966,0,1210599487,93,B,Major,81,53,78,18,0,6,24,1210.59949,304,3.98224
